headlines,description,catagories
MV Abdullah leaves UAE for last leg of homeward journey,"The ship MV Abdullah, with 23 Bangladeshi crew members, departs from UAE port for Chattogram, marking the final stretch of their journey",Business
"Heatwave: After fiery April, milder May beckons","Relief from a severe heatwave expected in May after a scorching April, with potential rainfall forecasted according to Meteorological Office",Weather
Bar pharmas from raising medicine prices at will,High Court orders measures to prevent pharmaceutical companies from arbitrarily hiking medicine prices,Healthcare
IMF Loan: Govt may miss two key targets set for fourth tranche,Concerns raised over government potentially failing to meet IMF conditions for fourth tranche of loan,Economy
Columbia University suspends pro-Palestinian protesters,Disciplinary action taken against pro-Palestinian protesters by Columbia University,Education
Australia sets out targets in 10-year plan to boost women's game,Australia introduces goals in a 10-year plan to enhance women's participation and performance in sports,Sports
Govt in a bind over school closure,Government faces dilemma regarding school closures amid ongoing heatwave,Education
Will BSEC ever learn from its missteps?,Analysts question if Bangladesh Securities and Exchange Commission (BSEC) will learn from past mistakes,Economy
Bayern standing in the way of Real's 15th UCL title,Real Madrid's bid for 15th UEFA Champions League title challenged by Bayern Munich in semifinals,Sports
Health    : A woman umpire and a click-hungry media,"Likely discusses gender dynamics and media sensationalism in sports, possibly focusing on a female umpire",Health    
Classroom shutdown is only logical amid sweltering heat,Health     piece arguing for closure of classrooms during heatwave to protect students,Health    
Ramping up preparedness amid severe heatwaves,Measures taken to enhance preparedness for dealing with severe heatwaves,Weather
How do we protect the worst victims of inflation?,Raises question of safeguarding vulnerable individuals from impacts of inflation,Economy
Familiar risks haunt Chattogram markets,Identifies familiar risks or challenges affecting markets in Chattogram,Economy
Are the rightful beneficiaries getting social protection?,Questions if intended recipients are receiving adequate social protection measures,Agriculture
Heatwave comes as a blessing for salt farmers,"Despite adverse effects, heatwave benefits salt farmers in Cox's Bazar",Agriculture
IMF suggestions for Bangladesh,IMF provides recommendations or inquiries regarding NPL classification and write-off policies in Bangladesh,Economy
"BSRM's two entities’ sales drop, but profit surges 574%","Despite sales drop, profit significantly increases for two entities of BSRM, indicating potential efficiency improvements",Business
Shrimp farmers fear losses for scorching heatwave,Shrimp farmers express concerns about potential losses due to scorching heatwave,Agriculture
"Heatwave: After fiery April, milder May beckons","Relief from a severe heatwave expected in May after a scorching April, with potential rainfall forecasted according to Meteorological Office",Weather
High Court forms committee to find 'resistance fighters',A four-member committee established by the High Court to identify and recognize 'resistance fighters' from 1975-1979,Agriculture
Verdict in Sohel Chy murder case May 9,Delivery of verdict in Sohel Chowdhury murder case scheduled for May 9,Agriculture
Security deployment to be highest ever in UZ polls,Large-scale deployment of Agriculture enforcement for upcoming upazila (local) elections,Politics
"Farmer killed in 'shootout between Rab, robbers'",Farmer allegedly killed during a gunfight between Rapid Action Battalion and suspected robbers,Entertainment
Ministry proposes raising age ceiling for govt jobs,Ministry of Education suggests increasing age limit for government service entry from 30 to 35 years,Entertainment
"Six die as bus, microbus collide head-on",Fatalities in head-on collision between bus and microbus in Cox's Bazar,Entertainment
"Scorching sun, stifling homes","Description of oppressive heatwave conditions in Korail slum, affecting residents' living conditions",Weather
Khalistan slogans at event attended by Trudeau,Indian protest slogans raised during event attended by Canadian Prime Minister Trudeau,Politics
Setback for Japan PM after by-polls losses,Japan's Prime Minister faces political setback after ruling party loses parliamentary seats in by-elections,Politics
Modi says inheritance tax cannot remove inequality,Indian Prime Minister Modi's statement on the ineffectiveness of inheritance tax in addressing poverty and inequality,Politics
Myanmar records hottest ever April temperature,Myanmar's weather department reports record high April temperature,Weather
KFC closes over 100 restaurants in Malaysia,KFC reduces operations in Malaysia due to pro-Palestine boycott triggered by conflict in Gaza,Business
Modi denies communal polarisation accusations,"Indian Prime Minister Modi denies accusations of communal polarisation, defends constitutional integrity",Politics
"China to host Hamas, Fatah unity talks",China to facilitate Palestinian unity talks between Hamas and Fatah,Politics
EC asks AAP to modify poll campaign song,Election Commission of India instructs Aam Aadmi Party to modify campaign song to comply with advertising regulations,Politics
Gaza residents describe dire living conditions,Description of harsh living conditions in Gaza due to garbage accumulation and rising temperatures,Agriculture
Container ship targeted near Yemen's Mokha,Report of a container ship being targeted with missiles near Yemen's Mokha port,Security
Floods kill 42 in central Kenya,Fatalities reported after a dam burst causes floods in central Kenya,Agriculture
US prepared with incentives for KSA-Israel normalisation,US Secretary of State announces readiness to offer security package to Saudi Arabia for normalising relations with Israel,Politics
Majority of Americans view Biden's tenure as failure,Results from CNN-SRSS survey indicating majority of American voters consider President Biden's tenure a failure,Politics
Burkina Faso suspends Economy Politics   media,Burkina Faso suspends Economy Politics   outlets for airing accusations of army massacre of civilians,Media
Ukraine claims foiling Russian attacks in Donetsk,Ukraine announces prevention of multiple Russian attacks in Donetsk region,Security
More than 900 students arrested in US Sports protests,Hundreds of students arrested during protests across US Sportses,Agriculture
A woman umpire and a click-hungry media,"Discussion on media's focus on a female umpire, Jessy, after a match, which unexpectedly turned into media sensationalism",Media
Classroom shutdown is only logical amid sweltering heat,Health     piece arguing for closure of schools during heatwaves to protect students,Health    
Ramping up preparedness amid severe heatwaves,Article discussing the need to enhance preparedness for dealing with severe heatwaves,Weather
How do we protect the worst victims of inflation?,Article raising questions on protecting vulnerable individuals from the impacts of inflation,Economy
Progress since Rana Plaza tragedy,"Reflection on progress made since the Rana Plaza tragedy, emphasizing the need for continued efforts to uphold workers' rights",Agriculture
Familiar risks haunt Chattogram markets,Article discussing the familiar risks or challenges affecting markets in Chattogram,Economy
Technology : Drug smuggling in jails,Technology  discussing drug smuggling in jails and the need for a holistic approach to combat the issue,Health    
Technology : Bangladesh Bank's perplexing decision,Technology  questioning a perplexing decision by Bangladesh Bank and its potential impacts,Health    
